,Ratings,Reviews,Price,split_source,Discount_Ratio,Edition_Year_Freq,Vintage_Count,Fraction_Author_BookCategory,Fraction_Author_Genre,Overall_Author_Rating,Total_Books_Per_Author,"Genre_Arts History, Theory & Criticism (Books)",Genre_Asian History,Genre_Biographies & Autobiographies (Books),Genre_Cinema & Broadcast (Books),Genre_Comics,Genre_Comics & Graphic Novels (Books),Genre_Comics & Mangas (Books),Genre_Computer Science Books,Genre_Contemporary Fiction (Books),"Genre_Crime, Thriller & Mystery (Books)",Genre_Design,Genre_Dictionaries,Genre_Encyclopaedias & Reference Works (Books),Genre_Government (Books),"Genre_Handicrafts, Decorative Arts & Crafts (Books)",Genre_Healthy Living & Wellness (Books),Genre_Humour (Books),Genre_Indian Writing (Books),Genre_Language Learning & Teaching (Books),"Genre_Language, Linguistics & Writing (Books)",Genre_Linguistics (Books),Genre_Mangas,Genre_Music Books,Genre_Others,Genre_Romance (Books),Genre_Software & Business Applications (Books),Genre_Sports Training & Coaching (Books),Genre_True Accounts (Books),Genre_Writing Guides (Books),"BookCategory_Arts, Film & Photography","BookCategory_Biographies, Diaries & True Accounts",BookCategory_Comics & Mangas,"BookCategory_Computing, Internet & Digital Media","BookCategory_Crime, Thriller & Mystery",BookCategory_Humour,"BookCategory_Language, Linguistics & Writing",BookCategory_Politics,BookCategory_Romance,BookCategory_Sports,Book_Type_Mass Market Paperback,Book_Type_Others,Book_Type_Paperback
12,4.1,4,379.0,0,0.0,0.006925740669488265,20,0.19510521500457456,0.219807868252516,0.908,0.0007367025195226168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,5.0,3,1066.0,0,0.0,0.010645119917917148,17,0.1354071363220494,0.01303751143641354,1.0,0.00014734050390452334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
15,5.0,2,287.0,0,0.0,0.08221110683596256,4,0.15667886550777677,0.05192131747483989,1.0,0.00014734050390452334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,5.0,1,162.0,0,0.0,0.13158907272027703,1,0.1914455626715462,0.0016010978956999085,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,4.9,23,587.0,0,0.0,0.1068359625496986,3,0.15667886550777677,0.04871912168344007,0.9900000000000001,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18,4.5,76,291.0,0,0.0,0.003334615877901757,28,0.15416285452881975,0.10041171088746569,0.9,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,4.3,5,352.0,0,0.0,0.1068359625496986,3,0.14501372369624885,0.0022872827081427266,0.86,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,4.9,10,339.0,0,0.0,0.13158907272027703,1,0.19510521500457456,0.219807868252516,0.9800000000000001,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5.0,2,309.0,0,0.0,0.13158907272027703,1,0.1354071363220494,0.10041171088746569,0.9127272727272727,0.0016207455429497568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,3.1,2,262.0,0,0.0,0.0471976401179941,7,0.19510521500457456,0.219807868252516,0.75,0.0008840430234271402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,3.1,10,607.0,0,0.0,0.06515326407592664,5,0.14501372369624885,0.013952424519670631,0.6200000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
24,4.8,9,536.0,0,0.0,0.0471976401179941,7,0.16285452881976212,0.0018298261665141812,0.96,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
25,4.0,1,621.0,0,0.0,0.04591509554957035,8,0.08508691674290943,0.0009149130832570906,0.8,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,4.3,15,286.98,0,0.0,0.1068359625496986,3,0.1354071363220494,0.008005489478499543,0.86,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27,4.3,34,3779.0,0,0.0,0.06515326407592664,5,0.15667886550777677,0.014181152790484904,0.8766666666666668,0.0008840430234271402,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,5.0,17,802.0,0,0.0,0.06515326407592664,5,0.1354071363220494,0.00022872827081427266,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,5.0,9,588.26,0,0.0,0.0030781069642170067,30,0.15416285452881975,0.10041171088746569,1.0,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30,4.0,32,340.0,0,0.0,0.060151340259074,6,0.1914455626715462,0.07159194876486734,0.7983999999999999,0.003683512597613084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,3.9,2,799.0,0,0.0,0.08221110683596256,4,0.14089661482159194,0.009149130832570906,0.78,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32,4.4,49,395.1,0,0.0,0.010645119917917148,19,0.15416285452881975,0.00022872827081427266,0.8800000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,4.2,49,225.0,0,0.0,0.021033730922149545,14,0.15324794144556267,0.11527904849039342,0.8307692307692307,0.003830853101517607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,4.3,10,1780.0,0,0.0,0.1068359625496986,3,0.15667886550777677,0.023559011893870083,0.86,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,4.3,8,309.0,0,0.0,0.05848403232012313,0,0.1914455626715462,0.07159194876486734,0.8399999999999999,0.0005893620156180934,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,4.4,62,559.0,0,0.5348837209302325,0.06515326407592664,5,0.16285452881976212,0.010521500457456541,0.9300000000000002,0.0005893620156180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
37,3.9,61,224.0,0,0.0,0.02988328844427344,10,0.15416285452881975,0.0057182067703568165,0.78,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,5.0,1,565.0,0,0.5132743362831859,0.01795562395793254,13,0.1914455626715462,0.219807868252516,0.8509090909090908,0.0016207455429497568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39,4.6,8,511.0,0,0.0,0.060151340259074,6,0.1354071363220494,0.0034309240622140895,0.8854545454545456,0.0016207455429497568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
40,5.0,7,144.0,0,0.0,0.060151340259074,6,0.16285452881976212,0.0016010978956999085,0.916,0.0007367025195226168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,4.7,5,1455.9,0,0.0,0.060151340259074,6,0.1914455626715462,0.07159194876486734,0.9400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,3.8,18,645.0,0,0.0,0.026163909195844555,11,0.16285452881976212,0.0004574565416285453,0.76,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
43,4.5,16,427.0,0,0.0,0.08221110683596256,4,0.16285452881976212,0.01715462031107045,0.9333333333333335,0.0004420215117135701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,4.6,6,560.0,0,0.0,0.05848403232012313,0,0.15324794144556267,0.03133577310155535,0.9319999999999999,0.0007367025195226168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,5.0,3,395.1,0,0.0,0.06515326407592664,5,0.1354071363220494,0.0018298261665141812,0.9366666666666668,0.0008840430234271402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
46,5.0,2,386.0,0,0.0,0.01795562395793254,13,0.13494967978042086,0.03133577310155535,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47,4.1,98,226.0,0,0.0,0.06515326407592664,5,0.15416285452881975,0.018755718206770355,0.8050000000000002,0.0005893620156180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
48,4.8,12,303.0,0,0.1353135313531353,0.0471976401179941,7,0.19510521500457456,0.219807868252516,0.9218181818181818,0.0016207455429497568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,3.8,3,235.0,0,0.0,0.11940489932025138,2,0.19510521500457456,0.219807868252516,0.8625,0.0035361720937085606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,4.4,97,427.0,0,0.0,0.1068359625496986,3,0.15416285452881975,0.0029734675205855443,0.8800000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
52,2.0,1,587.0,0,0.0,0.13158907272027703,1,0.13494967978042086,0.03133577310155535,0.7666666666666667,0.0004420215117135701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
53,4.6,7,262.0,0,0.0,0.010645119917917148,19,0.1914455626715462,0.219807868252516,0.8493333333333335,0.00221010755856785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
54,5.0,2,769.0,0,0.0,0.13158907272027703,1,0.15416285452881975,0.10041171088746569,1.0,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55,5.0,2,180.0,0,0.011111111111111112,0.05848403232012313,0,0.14089661482159194,0.0052607502287282705,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
56,4.2,7,199.0,0,0.0,0.11940489932025138,2,0.15324794144556267,0.11527904849039342,0.8400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
57,4.1,5,370.0,0,0.0,0.1068359625496986,3,0.14089661482159194,0.010978956999085087,0.82,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,4.7,285,259.0,0,0.0,0.08221110683596256,4,0.19510521500457456,0.219807868252516,0.9400000000000001,0.0005893620156180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,5.0,1,743.0,0,0.0,0.1068359625496986,3,0.14501372369624885,0.009377859103385178,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
61,3.7,27,360.0,0,0.0,0.1068359625496986,3,0.15416285452881975,0.10041171088746569,0.7400000000000001,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,4.0,4,247.0,0,0.0,0.01385148133897653,15,0.08508691674290943,0.002516010978956999,0.86,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
63,3.2,267,88.0,0,0.0,0.13158907272027703,1,0.15324794144556267,0.020128087831655993,0.71,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
64,4.0,24,191.0,0,0.0,0.06515326407592664,5,0.14501372369624885,0.00869167429094236,0.8,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
65,4.0,7,138.0,0,0.0,0.006925740669488265,20,0.14089661482159194,0.0052607502287282705,0.8850000000000002,0.0005893620156180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,4.7,6,503.0,0,0.17892644135188868,0.03988713607797871,9,0.19510521500457456,0.219807868252516,0.86,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,5.0,2,220.0,0,0.0,0.060151340259074,6,0.14089661482159194,0.018298261665141813,1.0,0.00014734050390452334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68,4.3,146,325.0,0,0.0,0.06515326407592664,5,0.1914455626715462,0.07479414455626715,0.8550000000000001,0.0005893620156180934,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
69,5.0,1,573.18,0,0.0,0.04591509554957035,8,0.08508691674290943,0.04871912168344007,0.9742857142857142,0.0010313835273316634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
70,4.0,4,1049.0,0,0.0,0.1068359625496986,3,0.16285452881976212,0.022186642268984445,0.8996551724137932,0.008545749226462354,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,5.0,1,413.0,0,0.0,0.1068359625496986,3,0.14089661482159194,0.01715462031107045,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
72,4.1,95,304.0,0,0.0,0.13158907272027703,1,0.19510521500457456,0.219807868252516,0.8123076923076923,0.0019154265507588036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,5.0,1,661.0,0,0.0,0.1068359625496986,3,0.15667886550777677,0.05192131747483989,0.9333333333333335,0.0004420215117135701,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
74,4.6,234,334.0,0,0.0,0.1068359625496986,3,0.1354071363220494,0.10041171088746569,0.9199999999999999,0.0002946810078090467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
75,3.7,35,543.0,0,0.0,0.08221110683596256,4,0.13494967978042086,0.00434583714547118,0.67,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
76,5.0,3,721.0,0,0.0,0.05848403232012313,0,0.08508691674290943,0.017612076852698992,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,4.1,5,1643.0,0,0.0,0.017186097216878287,12,0.13494967978042086,0.018298261665141813,0.82,0.00014734050390452334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
78,4.4,7,309.0,0,0.0,0.026163909195844555,11,0.1914455626715462,0.219807868252516,0.8871428571428572,0.002062767054663327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,4.0,2,854.0,0,0.0,0.13158907272027703,1,0.14089661482159194,0.10041171088746569,0.7200000000000001,0.0004420215117135701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,5.0,4,1799.0,0,0.0,0.08221110683596256,4,0.14089661482159194,0.0018298261665141812,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
81,4.6,66,437.0,0,0.018306636155606407,0.0471976401179941,7,0.15416285452881975,0.10041171088746569,0.9199999999999999,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
82,5.0,1,409.0,0,0.0,0.1068359625496986,3,0.1354071363220494,0.0016010978956999085,1.0,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
83,4.5,15,239.0,0,0.0,0.1068359625496986,3,0.13494967978042086,0.019441903019213176,0.9199999999999999,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
84,4.5,8,374.0,0,0.0,0.13158907272027703,1,0.08508691674290943,0.00022872827081427266,0.9,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
85,3.2,20,199.0,0,0.0,0.08221110683596256,4,0.15416285452881975,0.018526989935956084,0.6400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
86,4.6,39,345.0,0,0.0,0.010260356547390022,18,0.15416285452881975,0.0034309240622140895,0.9199999999999999,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
87,4.2,9,373.0,0,0.0,0.13158907272027703,1,0.08508691674290943,0.00022872827081427266,0.8400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
